"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1974436139089142030","Sat Oct 04 11:27:13 +0000 2025","12","Doa yang diajarkan nabi untuk pasangan yang menikah adalah Barokallah lakumaa wa baroka alaikumaa wa jama'a baynakumaa di khoirin . Doa inipun GAK MENJAMIN pasangan akan langgeng. LHA KOK SEKARANG DISURUH NYANYI TEPUK-TEPUK SAKINAH BIAR BISA LANGGENG?! REZIM ABSURD! https://t.co/pSesFNQ9JQ","1974436139089142030","https://pbs.twimg.com/ext_tw_video_thumb/1974435697181552640/pu/img/xKKUB33i8ElB3gA0.jpg","","in","","2","0","10","https://x.com/undefined/status/1974436139089142030","1680058301269282816",
"1974836047336165519","Sun Oct 05 13:56:19 +0000 2025","0","semua akan tepuk sakinah pada waktunya https://t.co/nRaPN82y2n","1974836047336165519","https://pbs.twimg.com/media/G2gG622aIAAfNfU.jpg","","in","","0","2","0","https://x.com/undefined/status/1974836047336165519","3076477655",
"1975055109601239130","Mon Oct 06 04:26:47 +0000 2025","876","Durung butuh tepuk sakinah niki butuhe nepuk-nepuk pundake dewe ben kuat lan bakoh.","1975055109601239130","","","in","","43","19","668","https://x.com/undefined/status/1975055109601239130","465106464",
"1974494582911180832","Sat Oct 04 15:19:27 +0000 2025","7012","Langsung saja tepuk sakinah. https://t.co/N9hy0NMw35","1974494582911180832","https://pbs.twimg.com/media/G2bQSL_a4AAQpFz.jpg","","in","","594","177","1416","https://x.com/undefined/status/1974494582911180832","1019746932833468416",
"1973715069155643861","Thu Oct 02 11:41:56 +0000 2025","58","emg udh hapal tepuk sakinah? https://t.co/n1IvaATsqV","1973715069155643861","https://pbs.twimg.com/media/G2QLZUKbAAAKh1z.jpg","","in","","2","10","4","https://x.com/undefined/status/1973715069155643861","1501934966799699968",
"1973777132301234467","Thu Oct 02 15:48:34 +0000 2025","2034","ptsd (post tepuk sakinah disorder)","1973777132301234467","","","in","","41","26","469","https://x.com/undefined/status/1973777132301234467","2413636441",
"1975822971056112056","Wed Oct 08 07:17:59 +0000 2025","55","Nohyuck / Jendong One Tweet Au Tepuk Sakinah Cw// bxb harsh word age gap mpreg https://t.co/u1RUfa2hIs","1975822971056112056","https://pbs.twimg.com/media/G2uIfrdbgAAHez6.jpg","","in","","1","1","11","https://x.com/undefined/status/1975822971056112056","1730498083988160512",
"1974469469926986173","Sat Oct 04 13:39:40 +0000 2025","28","Memantau perdebatan intelektuil X sambil~ https://t.co/o3cr3Z6wge","1974469469926986173","https://pbs.twimg.com/media/G2a5g_XagAAIB5F.jpg","","in","","0","2","0","https://x.com/undefined/status/1974469469926986173","998978248477298688",
"1975012317025943661","Mon Oct 06 01:36:44 +0000 2025","147","Indo teaching Ned tepuk sakinah HAHA #Nethernesia #countryhumansindonesia #countryhumansnetherlands https://t.co/Rz7052smiI","1975012317025943661","https://pbs.twimg.com/media/G2inOgFa8AAVRnG.jpg","","tl","","1","0","26","https://x.com/undefined/status/1975012317025943661","1500153740363714562",
"1974507764736249938","Sat Oct 04 16:11:50 +0000 2025","62","Syifa udh mau tepuk sakinah aja ni https://t.co/I44XovFUC3","1974507764736249938","https://pbs.twimg.com/media/G2bcWKLbEAEKkk3.jpg","","in","","0","1","3","https://x.com/undefined/status/1974507764736249938","1745729995576852480",
"1974427971227394170","Sat Oct 04 10:54:46 +0000 2025","34","Tepuk sakinah membuat orang malas menikah dan tidak ada perceraian kalau tidak ada pernikahan. Kesimpulan: tepuk sakinah mengurangi angka perceraian. 4D chess.","1974427971227394170","","","in","","1","4","1","https://x.com/undefined/status/1974427971227394170","998978248477298688",
"1975052713189855481","Mon Oct 06 04:17:16 +0000 2025","146","Biasa aja bg ngausah misuh https://t.co/oqBGw5Vjh2","1975052713189855481","https://pbs.twimg.com/media/G2jL8t4boAAwhXc.jpg","","in","","2","6","23","https://x.com/undefined/status/1975052713189855481","998978248477298688",
"1975048244133757155","Mon Oct 06 03:59:30 +0000 2025","1","satu sisi seneng satu sisi kasian juga sama pejuang tepuk sakinah https://t.co/GbvtUzpPss","1975048244133757155","https://pbs.twimg.com/media/G2jH50faUAAF7h-.jpg","","in","","0","0","0","https://x.com/undefined/status/1975048244133757155","972078432589770755",
"1974712823721935213","Sun Oct 05 05:46:40 +0000 2025","34","inponya pas wahyu menang jwc orang2 sebioskop tepuk sakinah benar kah oomf?","1974712823721935213","","","in","","0","3","2","https://x.com/undefined/status/1974712823721935213","3148141098",
"1975894480118329843","Wed Oct 08 12:02:09 +0000 2025","0","Kalau Aku nikah sama Shinjiro disuruh tepuk sakinah juga kah ? ","1975894480118329843","","","in","","0","0","0","https://x.com/undefined/status/1975894480118329843","1646209742904369158",
"1974648545568514465","Sun Oct 05 01:31:15 +0000 2025","3","Walaupun belum tau kapan tapi dari sekarang udah punya plan kalo nanti nikah mau request penghulu KUA yang gak ngeluarin jokes cringey &amp; tepuk sakinah. Harus dapet pokoknya.","1974648545568514465","","","in","","0","3","1","https://x.com/undefined/status/1974648545568514465","40767496",
"1975009681174364278","Mon Oct 06 01:26:16 +0000 2025","18","So What s smart about smart contract ?","1975009681174364278","","","en","","1","5","0","https://x.com/undefined/status/1975009681174364278","998978248477298688",
"1972281011062084031","Sun Sep 28 12:43:30 +0000 2025","73","Nah pas nih ayo coba tepuk sakinah bareng-bareng https://t.co/Vrk6qJDZJh","1972281011062084031","https://pbs.twimg.com/media/G17zH55bIAAwPd4.jpg","","in","","2","5","6","https://x.com/undefined/status/1972281011062084031","1478402699783643145",
"1974489640955527538","Sat Oct 04 17:42:25 +0000 2025","15","@hrdbacot Kelebihan : hafal mati tepuk sakinah #TaliKasihHRDbacotQ4 https://t.co/5tns3qfRT0","1974530561848099259","https://pbs.twimg.com/media/G2bxDX7bUAAHhWA.jpg","hrdbacot","in","","0","4","1","https://x.com/undefined/status/1974530561848099259","473592346",
"1975085620830851332","Mon Oct 06 06:28:01 +0000 2025","79","Terkutuk kelen vibecoder","1975085620830851332","","","nl","","2","13","3","https://x.com/undefined/status/1975085620830851332","998978248477298688",
"1975435032207761528","Tue Oct 07 05:36:28 +0000 2025","28","Belum lagi hapal tepuk sakinah dah muncul aja tepuk talak https://t.co/i83EPgDXeP","1975435032207761528","https://pbs.twimg.com/amplify_video_thumb/1975434968282374145/img/BC5aqWKKa1OK48oi.jpg","","in","","6","8","25","https://x.com/undefined/status/1975435032207761528","1481089289035579392",
"1973381441393402189","Wed Oct 01 13:36:13 +0000 2025","5124","itu TS kepanjangannya Tepuk Sakinah","1973381441393402189","","","in","","111","91","957","https://x.com/undefined/status/1973381441393402189","2413636441",
"1974791163573055648","Sun Oct 05 10:57:57 +0000 2025","125","verchan abis tepuk sakinah ya","1974791163573055648","","","in","","25","8","33","https://x.com/undefined/status/1974791163573055648","1891516742725472256",
"1974583155949768928","Sat Oct 04 21:11:25 +0000 2025","63","Perceraian ditekan dg TEPUK SAKINAH??? WOY kok ya percaya dg kekonyolan TEPUK SAKINAH dipandang dari sudut manapun SIAPA PEDULI dengan TEPUK2an? Kalau masalah perceraian itu urusan PRIBADI mau TEPUK SAKINAH sampai jungkir balik gk berefek REDAM PERCERAIAN SUNGGUH KONYOL !! https://t.co/ogRMXolLB1","1974583155949768928","https://pbs.twimg.com/media/G2cg6GwbAAECwwl.jpg","","in","","2","45","22","https://x.com/undefined/status/1974583155949768928","1560424533072695296",
"1974992493755437496","Mon Oct 06 00:17:58 +0000 2025","117","Contoh soal untuk pak Menag ; Saat menikah pake tepuk sakinah beberapa bulan setelah nikah suaminya kena PHK ? Apakah angka perceraian bisa dicegah pake tepuk sakinah? #CumanNanya https://t.co/bB2wkhdCKi","1974992493755437496","https://pbs.twimg.com/media/G2iVNOkbMAANVe4.jpg","","in","","4","56","39","https://x.com/undefined/status/1974992493755437496","2905814730",
"1974785833027932212","Sun Oct 05 10:36:46 +0000 2025","3","Menag jualan tepuk sakinah https://t.co/ssZ32VzkSr","1974785833027932212","https://pbs.twimg.com/media/G2fZPrwbYAEgZKK.jpg","","in","","1","3","0","https://x.com/undefined/status/1974785833027932212","2755262034",
"1973437932666302827","Wed Oct 01 17:20:42 +0000 2025","4","my orangtuaku please tepuk sakinah lg https://t.co/NMB9xoiMoL","1973437932666302827","https://pbs.twimg.com/amplify_video_thumb/1972640545148428289/img/8OaiJW7R-4amvGu8.jpg","","in","","0","0","0","https://x.com/undefined/status/1973437932666302827","1828175857028071424",
"1973601877066653768","Thu Oct 02 04:12:09 +0000 2025","23","usok sama dedek kalo nikah ada rencana pake tepuk sakinah gak","1973601877066653768","","","in","","1","4","0","https://x.com/undefined/status/1973601877066653768","4225166054",
"1975880754279371250","Wed Oct 08 11:07:36 +0000 2025","1","Tepuk Sakinah Tepuk Shaqiri https://t.co/YJOF5waadW","1975880754279371250","https://pbs.twimg.com/media/G2u9E1zbQAA6l87.jpg","","in","","0","0","0","https://x.com/undefined/status/1975880754279371250","403338853",
"1971908002090566033","Sat Sep 27 16:40:35 +0000 2025","17","@radenrauf udh hapal tepuk sakinah tapi masa tepuk tangan sendiri https://t.co/bXMDr210UU","1971978285790986455","https://pbs.twimg.com/media/G13fyu3bIAENp1n.jpg","radenrauf","in","","0","3","0","https://x.com/undefined/status/1971978285790986455","1505071201026449408",
"1974485422077317459","Sat Oct 04 14:43:03 +0000 2025","14","[upload ulang] - dongren lokal au prompt sepotong cerita dari dayat (hc) dan supri (rj) yang saling cinta saling jaga tepuk sakinah https://t.co/8sLlYw4f4j","1974485422077317459","https://pbs.twimg.com/media/G2bIBAFbUAA6DC0.jpg","","in","","2","0","4","https://x.com/undefined/status/1974485422077317459","1871489663355248640",
"1972627679863324745","Mon Sep 29 11:41:03 +0000 2025","26","AKHIRNYA AYO KITA TEPUK SAKINAH DULU SAYANG BERPASANGAN BERPASANGAN BERPASANGAN https://t.co/PCmXAH5wtE","1972627679863324745","https://pbs.twimg.com/media/G2Aua9CaEAARR-E.jpg","","in","","0","20","3","https://x.com/undefined/status/1972627679863324745","1097780116522823680",
